"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 30 07:19:17 GMT 2023","Thu Mar 30 07:19:18 GMT 2023","1676","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Thu Mar 30 07:19:16 GMT 2023","Thu Mar 30 07:19:16 GMT 2023","224","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Thu Mar 30 07:19:15 GMT 2023","Thu Mar 30 07:19:16 GMT 2023","1217","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Thu Mar 30 07:19:18 GMT 2023","Thu Mar 30 07:19:19 GMT 2023","224","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Thu Mar 30 07:19:17 GMT 2023","Thu Mar 30 07:19:17 GMT 2023","224","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Thu Mar 30 07:19:16 GMT 2023","Thu Mar 30 07:19:17 GMT 2023","224","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
